family,input_profile,populated_slots,population,reason,split,vocabulary_profile
symmetric,passive,181175,parent_pool,role,overall,existing_train_val_minocc100
type,passive,150,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
type,passive,20,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
type,passive,719,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
type,passive,372252,parent_pool,output_constant,overall,existing_train_val_minocc100
type,passive,8509,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
type,passive,231094,parent_pool,role,overall,existing_train_val_minocc100
valueRequiresStatement,passive,263,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
valueRequiresStatement,passive,1,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
valueRequiresStatement,passive,1551,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
valueRequiresStatement,passive,295219,parent_pool,output_constant,overall,existing_train_val_minocc100
valueRequiresStatement,passive,31772,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
valueRequiresStatement,passive,284817,parent_pool,role,overall,existing_train_val_minocc100
valueType,passive,79,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
valueType,passive,18,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
valueType,passive,778,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
valueType,passive,384959,parent_pool,output_constant,overall,existing_train_val_minocc100
valueType,passive,7086,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
valueType,passive,217406,parent_pool,role,overall,existing_train_val_minocc100
conflictWith,passive,16,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
conflictWith,passive,2,parent_pool,local_constraint_parameter,test,existing_train_val_minocc100
conflictWith,passive,72,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
conflictWith,passive,4505,parent_pool,output_constant,test,existing_train_val_minocc100
conflictWith,passive,1671,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
conflictWith,passive,100369,parent_pool,role,test,existing_train_val_minocc100
distinct,passive,2,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
distinct,passive,2,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
distinct,passive,1989,parent_pool,output_constant,test,existing_train_val_minocc100
distinct,passive,1992,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
distinct,passive,213356,parent_pool,role,test,existing_train_val_minocc100
inverse,passive,10,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
inverse,passive,39,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
inverse,passive,18985,parent_pool,output_constant,test,existing_train_val_minocc100
inverse,passive,361,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
inverse,passive,45666,parent_pool,role,test,existing_train_val_minocc100
itemRequiresStatement,passive,266,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
itemRequiresStatement,passive,27,parent_pool,local_constraint_parameter,test,existing_train_val_minocc100
itemRequiresStatement,passive,617,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
itemRequiresStatement,passive,44971,parent_pool,output_constant,test,existing_train_val_minocc100
itemRequiresStatement,passive,12877,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
itemRequiresStatement,passive,31692,parent_pool,role,test,existing_train_val_minocc100
oneOf,passive,3,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
oneOf,passive,24,parent_pool,local_constraint_parameter,test,existing_train_val_minocc100
oneOf,passive,1,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
oneOf,passive,1483,parent_pool,output_constant,test,existing_train_val_minocc100
oneOf,passive,20,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
oneOf,passive,9230,parent_pool,role,test,existing_train_val_minocc100
single,passive,70,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
single,passive,258,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
single,passive,964,parent_pool,output_constant,test,existing_train_val_minocc100
single,passive,4418,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
single,passive,117794,parent_pool,role,test,existing_train_val_minocc100
symmetric,passive,6,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
symmetric,passive,13,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
symmetric,passive,22,parent_pool,output_constant,test,existing_train_val_minocc100
symmetric,passive,105,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
symmetric,passive,26965,parent_pool,role,test,existing_train_val_minocc100
type,passive,43,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
type,passive,4,parent_pool,local_constraint_parameter,test,existing_train_val_minocc100
type,passive,125,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
type,passive,55826,parent_pool,output_constant,test,existing_train_val_minocc100
type,passive,1265,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
type,passive,34723,parent_pool,role,test,existing_train_val_minocc100
valueRequiresStatement,passive,76,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
valueRequiresStatement,passive,226,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
valueRequiresStatement,passive,44287,parent_pool,output_constant,test,existing_train_val_minocc100
valueRequiresStatement,passive,4691,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
valueRequiresStatement,passive,42652,parent_pool,role,test,existing_train_val_minocc100
valueType,passive,25,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
valueType,passive,5,parent_pool,local_constraint_parameter,test,existing_train_val_minocc100
valueType,passive,124,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
valueType,passive,57736,parent_pool,output_constant,test,existing_train_val_minocc100
valueType,passive,1054,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
valueType,passive,32553,parent_pool,role,test,existing_train_val_minocc100
conflictWith,passive,51,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
conflictWith,passive,5,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
conflictWith,passive,301,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
conflictWith,passive,20977,parent_pool,output_constant,train,existing_train_val_minocc100
conflictWith,passive,8114,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
conflictWith,passive,468102,parent_pool,role,train,existing_train_val_minocc100
distinct,passive,3,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
distinct,passive,17,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
distinct,passive,9061,parent_pool,output_constant,train,existing_train_val_minocc100
distinct,passive,9207,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
distinct,passive,995034,parent_pool,role,train,existing_train_val_minocc100
inverse,passive,19,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
inverse,passive,4,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
inverse,passive,195,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
inverse,passive,88171,parent_pool,output_constant,train,existing_train_val_minocc100
inverse,passive,1951,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
inverse,passive,213578,parent_pool,role,train,existing_train_val_minocc100
itemRequiresStatement,passive,600,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
itemRequiresStatement,passive,40,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
itemRequiresStatement,passive,2879,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
itemRequiresStatement,passive,210659,parent_pool,output_constant,train,existing_train_val_minocc100
itemRequiresStatement,passive,59936,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
itemRequiresStatement,passive,148274,parent_pool,role,train,existing_train_val_minocc100
oneOf,passive,3,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
oneOf,passive,42,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
oneOf,passive,1,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
oneOf,passive,6992,parent_pool,output_constant,train,existing_train_val_minocc100
oneOf,passive,63,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
oneOf,passive,42990,parent_pool,role,train,existing_train_val_minocc100
single,passive,170,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
single,passive,1281,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
single,passive,4809,parent_pool,output_constant,train,existing_train_val_minocc100
single,passive,20432,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
single,passive,549944,parent_pool,role,train,existing_train_val_minocc100
symmetric,passive,8,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
symmetric,passive,68,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
symmetric,passive,137,parent_pool,output_constant,train,existing_train_val_minocc100
symmetric,passive,581,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
symmetric,passive,126919,parent_pool,role,train,existing_train_val_minocc100
type,passive,90,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
type,passive,14,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
type,passive,516,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
type,passive,260515,parent_pool,output_constant,train,existing_train_val_minocc100
type,passive,6003,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
type,passive,161787,parent_pool,role,train,existing_train_val_minocc100
valueRequiresStatement,passive,161,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
valueRequiresStatement,passive,1,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
valueRequiresStatement,passive,1108,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
valueRequiresStatement,passive,206674,parent_pool,output_constant,train,existing_train_val_minocc100
valueRequiresStatement,passive,22315,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
valueRequiresStatement,passive,199284,parent_pool,role,train,existing_train_val_minocc100
valueType,passive,46,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
valueType,passive,9,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
valueType,passive,524,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
valueType,passive,269458,parent_pool,output_constant,train,existing_train_val_minocc100
valueType,passive,4980,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
valueType,passive,152198,parent_pool,role,train,existing_train_val_minocc100
conflictWith,passive,4,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
conflictWith,passive,72,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
conflictWith,passive,4446,parent_pool,output_constant,val,existing_train_val_minocc100
conflictWith,passive,1728,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
conflictWith,passive,100310,parent_pool,role,val,existing_train_val_minocc100
distinct,passive,2,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
distinct,passive,2,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
distinct,passive,1956,parent_pool,output_constant,val,existing_train_val_minocc100
distinct,passive,1983,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
distinct,passive,213269,parent_pool,role,val,existing_train_val_minocc100
inverse,passive,2,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
inverse,passive,50,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
inverse,passive,18949,parent_pool,output_constant,val,existing_train_val_minocc100
inverse,passive,390,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
inverse,passive,45556,parent_pool,role,val,existing_train_val_minocc100
itemRequiresStatement,passive,121,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
itemRequiresStatement,passive,13,parent_pool,local_constraint_parameter,val,existing_train_val_minocc100
itemRequiresStatement,passive,618,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
itemRequiresStatement,passive,45191,parent_pool,output_constant,val,existing_train_val_minocc100
itemRequiresStatement,passive,12770,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
itemRequiresStatement,passive,31749,parent_pool,role,val,existing_train_val_minocc100
oneOf,passive,1,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
oneOf,passive,13,parent_pool,local_constraint_parameter,val,existing_train_val_minocc100
oneOf,passive,1,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
oneOf,passive,1462,parent_pool,output_constant,val,existing_train_val_minocc100
oneOf,passive,14,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
oneOf,passive,9153,parent_pool,role,val,existing_train_val_minocc100
single,passive,43,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
single,passive,273,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
single,passive,1041,parent_pool,output_constant,val,existing_train_val_minocc100
single,passive,4385,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
single,passive,117876,parent_pool,role,val,existing_train_val_minocc100
symmetric,passive,1,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
symmetric,passive,23,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
symmetric,passive,36,parent_pool,output_constant,val,existing_train_val_minocc100
symmetric,passive,108,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
symmetric,passive,27291,parent_pool,role,val,existing_train_val_minocc100
type,passive,17,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
type,passive,2,parent_pool,local_constraint_parameter,val,existing_train_val_minocc100
type,passive,78,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
type,passive,55911,parent_pool,output_constant,val,existing_train_val_minocc100
type,passive,1241,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
type,passive,34584,parent_pool,role,val,existing_train_val_minocc100
valueRequiresStatement,passive,26,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
valueRequiresStatement,passive,217,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
valueRequiresStatement,passive,44258,parent_pool,output_constant,val,existing_train_val_minocc100
valueRequiresStatement,passive,4766,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
valueRequiresStatement,passive,42881,parent_pool,role,val,existing_train_val_minocc100
valueType,passive,8,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
valueType,passive,4,parent_pool,local_constraint_parameter,val,existing_train_val_minocc100
valueType,passive,130,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
valueType,passive,57765,parent_pool,output_constant,val,existing_train_val_minocc100
valueType,passive,1052,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
valueType,passive,32655,parent_pool,role,val,existing_train_val_minocc100
overall,factorized,1730,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
overall,factorized,410,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
overall,factorized,9793,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
overall,factorized,1539236,parent_pool,output_constant,overall,existing_train_val_minocc100
overall,factorized,190473,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
overall,factorized,4368434,parent_pool,role,overall,existing_train_val_minocc100
overall,factorized,473,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
overall,factorized,116,parent_pool,local_constraint_parameter,test,existing_train_val_minocc100
overall,factorized,1467,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
overall,factorized,230768,parent_pool,output_constant,test,existing_train_val_minocc100
overall,factorized,28454,parent_pool,outside_fixed_vocabulary_and_input,test,existing_train_val_minocc100
overall,factorized,655000,parent_pool,role,test,existing_train_val_minocc100
overall,factorized,1058,parent_pool,known_constant_blocked_by_output_mask,train,existing_train_val_minocc100
overall,factorized,233,parent_pool,local_constraint_parameter,train,existing_train_val_minocc100
overall,factorized,6865,parent_pool,missing_role_present_local_neighbor,train,existing_train_val_minocc100
overall,factorized,1077453,parent_pool,output_constant,train,existing_train_val_minocc100
overall,factorized,133582,parent_pool,outside_fixed_vocabulary_and_input,train,existing_train_val_minocc100
overall,factorized,3058110,parent_pool,role,train,existing_train_val_minocc100
overall,factorized,199,parent_pool,known_constant_blocked_by_output_mask,val,existing_train_val_minocc100
overall,factorized,61,parent_pool,local_constraint_parameter,val,existing_train_val_minocc100
overall,factorized,1461,parent_pool,missing_role_present_local_neighbor,val,existing_train_val_minocc100
overall,factorized,231015,parent_pool,output_constant,val,existing_train_val_minocc100
overall,factorized,28437,parent_pool,outside_fixed_vocabulary_and_input,val,existing_train_val_minocc100
overall,factorized,655324,parent_pool,role,val,existing_train_val_minocc100
conflictWith,factorized,70,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
conflictWith,factorized,12,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
conflictWith,factorized,441,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
conflictWith,factorized,29928,parent_pool,output_constant,overall,existing_train_val_minocc100
conflictWith,factorized,11513,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
conflictWith,factorized,668781,parent_pool,role,overall,existing_train_val_minocc100
distinct,factorized,7,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
distinct,factorized,21,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
distinct,factorized,13006,parent_pool,output_constant,overall,existing_train_val_minocc100
distinct,factorized,13182,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
distinct,factorized,1421659,parent_pool,role,overall,existing_train_val_minocc100
inverse,factorized,31,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
inverse,factorized,5,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
inverse,factorized,283,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
inverse,factorized,126105,parent_pool,output_constant,overall,existing_train_val_minocc100
inverse,factorized,2702,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
inverse,factorized,304800,parent_pool,role,overall,existing_train_val_minocc100
itemRequiresStatement,factorized,862,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
itemRequiresStatement,factorized,233,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
itemRequiresStatement,factorized,4086,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
itemRequiresStatement,factorized,300821,parent_pool,output_constant,overall,existing_train_val_minocc100
itemRequiresStatement,factorized,85583,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
itemRequiresStatement,factorized,211715,parent_pool,role,overall,existing_train_val_minocc100
oneOf,factorized,7,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
oneOf,factorized,79,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
oneOf,factorized,3,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
oneOf,factorized,9937,parent_pool,output_constant,overall,existing_train_val_minocc100
oneOf,factorized,97,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
oneOf,factorized,61373,parent_pool,role,overall,existing_train_val_minocc100
single,factorized,276,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
single,factorized,9,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
single,factorized,1810,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
single,factorized,6814,parent_pool,output_constant,overall,existing_train_val_minocc100
single,factorized,29235,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
single,factorized,785614,parent_pool,role,overall,existing_train_val_minocc100
symmetric,factorized,15,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
symmetric,factorized,104,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
symmetric,factorized,195,parent_pool,output_constant,overall,existing_train_val_minocc100
symmetric,factorized,794,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
symmetric,factorized,181175,parent_pool,role,overall,existing_train_val_minocc100
type,factorized,136,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
type,factorized,34,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
type,factorized,719,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
type,factorized,372252,parent_pool,output_constant,overall,existing_train_val_minocc100
type,factorized,8509,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
type,factorized,231094,parent_pool,role,overall,existing_train_val_minocc100
valueRequiresStatement,factorized,252,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
valueRequiresStatement,factorized,15,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
valueRequiresStatement,factorized,1548,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
valueRequiresStatement,factorized,295219,parent_pool,output_constant,overall,existing_train_val_minocc100
valueRequiresStatement,factorized,31772,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
valueRequiresStatement,factorized,284817,parent_pool,role,overall,existing_train_val_minocc100
valueType,factorized,74,parent_pool,known_constant_blocked_by_output_mask,overall,existing_train_val_minocc100
valueType,factorized,23,parent_pool,local_constraint_parameter,overall,existing_train_val_minocc100
valueType,factorized,778,parent_pool,missing_role_present_local_neighbor,overall,existing_train_val_minocc100
valueType,factorized,384959,parent_pool,output_constant,overall,existing_train_val_minocc100
valueType,factorized,7086,parent_pool,outside_fixed_vocabulary_and_input,overall,existing_train_val_minocc100
valueType,factorized,217406,parent_pool,role,overall,existing_train_val_minocc100
conflictWith,factorized,15,parent_pool,known_constant_blocked_by_output_mask,test,existing_train_val_minocc100
conflictWith,factorized,3,parent_pool,local_constraint_parameter,test,existing_train_val_minocc100
conflictWith,factorized,72,parent_pool,missing_role_present_local_neighbor,test,existing_train_val_minocc100
conflictWith,factorized,4505,parent_pool,output_constant,test,existing_train_val_minocc100
