F_and_A_count,F_and_A_share,F_count,F_share,axis,category,js_divergence_bits,percentage_point_change,relative_retention,vocabulary
98894,0.08099924237770542,106352,0.08037916182020045,factor_count_bin,65-83,,0.06200805575049678,0.9298743794192869,V0_clean_parent_train_minocc100
48855,0.0400147429203268,53654,0.04055084576031513,factor_count_bin,84-107,,-0.05361028399883325,0.9105565288701681,V0_clean_parent_train_minocc100
1220925,1.0,1323129,1.0,factor_count_bin,__distribution_summary__,0.0002430568206589163,0.0,0.9227558310640912,V0_clean_parent_train_minocc100
30545,0.02501791674345271,31284,0.02364395308393966,factorized_node_bin,1-32,,0.13739636595130506,0.9763777010612453,V0_clean_parent_train_minocc100
262661,0.21513278866433236,288802,0.21827199010829632,factorized_node_bin,1025+,,-0.3139201443963957,0.9094846988594262,V0_clean_parent_train_minocc100
184245,0.15090607531175135,204712,0.15471809627028052,factorized_node_bin,129-256,,-0.3812020958529172,0.9000205166282387,V0_clean_parent_train_minocc100
165233,0.13533427524213199,181051,0.1368354861846426,factorized_node_bin,257-512,,-0.1501210942510628,0.9126323522101507,V0_clean_parent_train_minocc100
29921,0.02450682883879026,37285,0.028179414100968234,factorized_node_bin,33-64,,-0.3672585262177973,0.8024943006571007,V0_clean_parent_train_minocc100
468783,0.38395724553105226,485519,0.36694759165584007,factorized_node_bin,513-1024,,1.7009653875212194,0.9655296703115634,V0_clean_parent_train_minocc100
79537,0.06514486966848905,94476,0.07140346859603258,factorized_node_bin,65-128,,-0.6258598927543533,0.8418751852322283,V0_clean_parent_train_minocc100
1220925,1.0,1323129,1.0,factorized_node_bin,__distribution_summary__,0.0003772197046110386,0.0,0.9227558310640912,V0_clean_parent_train_minocc100
513,,516,,distinct_constraint_definitions,conflictWith,,,0.9941860465116279,V0_clean_parent_train_minocc100
539,,593,,distinct_constraint_definitions,distinct,,,0.9089376053962901,V0_clean_parent_train_minocc100
87,,87,,distinct_constraint_definitions,inverse,,,1.0,V0_clean_parent_train_minocc100
1190,,1519,,distinct_constraint_definitions,itemRequiresStatement,,,0.783410138248848,V0_clean_parent_train_minocc100
63,,66,,distinct_constraint_definitions,oneOf,,,0.9545454545454546,V0_clean_parent_train_minocc100
1000,,1004,,distinct_constraint_definitions,single,,,0.9960159362549801,V0_clean_parent_train_minocc100
34,,34,,distinct_constraint_definitions,symmetric,,,1.0,V0_clean_parent_train_minocc100
790,,794,,distinct_constraint_definitions,type,,,0.9949622166246851,V0_clean_parent_train_minocc100
22,,23,,distinct_constraint_definitions,valueRequiresStatement,,,0.9565217391304348,V0_clean_parent_train_minocc100
207,,209,,distinct_constraint_definitions,valueType,,,0.9904306220095693,V0_clean_parent_train_minocc100
4445,,4845,,distinct_constraint_definitions,overall,,,0.9174406604747162,V0_clean_parent_train_minocc100
152970,0.12531272886346098,153675,0.11614513777568174,family,conflictWith,,0.9167591087779245,0.9954123962908736,V1_verified_train_minocc100
441214,0.36144165753260815,454400,0.34342834296580305,family,distinct,,1.8013314566805105,0.9709815140845071,V1_verified_train_minocc100
124782,0.10222117364869182,124787,0.09431204364804943,family,inverse,,0.7909130000642389,0.9999599317236572,V1_verified_train_minocc100
98502,0.0806926483526746,166379,0.1257466203219792,family,itemRequiresStatement,,-4.505397196930459,0.592033850425835,V1_verified_train_minocc100
2979,0.0024403910523909935,3016,0.00227944516369908,family,oneOf,,0.016094588869191347,0.9877320954907162,V1_verified_train_minocc100
105410,0.08635166862455006,105434,0.07968535191957851,family,single,,0.6666316704971544,0.9997723694443917,V1_verified_train_minocc100
20525,0.01681404039957205,20527,0.015513982385693308,family,symmetric,,0.13000580138787435,0.9999025673503191,V1_verified_train_minocc100
128153,0.1049826903447677,128443,0.09707519070324964,family,type,,0.7907499641518059,0.9977421891422654,V1_verified_train_minocc100
70949,0.05812128391275213,91155,0.068893509249665,family,valueRequiresStatement,,-1.0772225336912875,0.7783336075914651,V1_verified_train_minocc100
75222,0.06162171726853149,75313,0.056920375866601064,family,valueType,,0.47013414019304245,0.9987917092666605,V1_verified_train_minocc100
1220706,1.0,1323129,1.0,family,__distribution_summary__,0.004607777623533121,0.0,0.9225903143230932,V1_verified_train_minocc100
499197,0.4089412192616404,587650,0.44413658834474945,edit_action,addition_only,,-3.519536908310905,0.8494801327320685,V1_verified_train_minocc100
677259,0.5548092661132165,677259,0.5118616552127571,edit_action,deletion_only,,4.29476109004594,1.0,V1_verified_train_minocc100
21071,0.017261322546133138,21128,0.015968208693181087,edit_action,paired_other,,0.12931138529520514,0.9973021582733813,V1_verified_train_minocc100
23179,0.018988192079010015,37092,0.028033547749312427,edit_action,paired_replacement_same_subject_property,,-0.9045355670302412,0.6249056400301952,V1_verified_train_minocc100
1220706,1.0,1323129,1.0,edit_action,__distribution_summary__,0.0017973752710488578,0.0,0.9225903143230932,V1_verified_train_minocc100
394632,0.3232817730067682,398222,0.3009698978708803,base_status,base_deleting,,2.2311875135887895,0.9909849280049822,V1_verified_train_minocc100
826074,0.6767182269932318,924907,0.6990301021291196,base_status,base_preserving,,-2.2311875135887838,0.8931427700298517,V1_verified_train_minocc100
1220706,1.0,1323129,1.0,base_status,__distribution_summary__,0.00041820339379074374,0.0,0.9225903143230932,V1_verified_train_minocc100
1197527,0.98101180792099,1286037,0.9719664522506876,same_sp_status,other,,0.9045355670302402,0.9311761636718072,V1_verified_train_minocc100
23179,0.018988192079010015,37092,0.028033547749312427,same_sp_status,same_sp_replacement,,-0.9045355670302412,0.6249056400301952,V1_verified_train_minocc100
1220706,1.0,1323129,1.0,same_sp_status,__distribution_summary__,0.0006466163594557256,0.0,0.9225903143230932,V1_verified_train_minocc100
445305,0.36479299683953387,504891,0.38158864328421493,factor_count_bin,1-32,,-1.6795646444681067,0.8819824476966316,V1_verified_train_minocc100
2100,0.0017203159483118785,2220,0.0016778409361445483,factor_count_bin,108,,0.004247501216733023,0.9459459459459459,V1_verified_train_minocc100
54776,0.04487239351653879,58005,0.04383926283831735,factor_count_bin,109-160,,0.10331306782214375,0.9443323851392121,V1_verified_train_minocc100
26343,0.02158013477446658,26924,0.020348733948088206,factor_count_bin,161-267,,0.12314008263783725,0.9784207398603476,V1_verified_train_minocc100
10441,0.008553247055392536,10537,0.00796369817304284,factor_count_bin,268+,,0.058954888234969555,0.990889247413875,V1_verified_train_minocc100
534028,0.43747470725956944,560546,0.42365181323967654,factor_count_bin,33-64,,1.3822894019892895,0.9526925533319299,V1_verified_train_minocc100
98869,0.08099329404459386,106352,0.08037916182020045,factor_count_bin,65-83,,0.061413222439341,0.9296393109673536,V1_verified_train_minocc100
48844,0.04001291056159305,53654,0.04055084576031513,factor_count_bin,84-107,,-0.05379351987220837,0.9103515115368844,V1_verified_train_minocc100
1220706,1.0,1323129,1.0,factor_count_bin,__distribution_summary__,0.00024366614399024507,0.0,0.9225903143230932,V1_verified_train_minocc100
30540,0.02501830907687846,31284,0.02364395308393966,factorized_node_bin,1-32,,0.13743559929388013,0.9762178749520521,V1_verified_train_minocc100
262629,0.2151451700900954,288802,0.21827199010829632,factorized_node_bin,1025+,,-0.31268200182009154,0.9093738963026572,V1_verified_train_minocc100
184197,0.15089382701485862,204712,0.15471809627028052,factorized_node_bin,129-256,,-0.3824269255421897,0.8997860408769394,V1_verified_train_minocc100
165183,0.1353175949000005,181051,0.1368354861846426,factorized_node_bin,257-512,,-0.1517891284642109,0.9123561869307543,V1_verified_train_minocc100
29910,0.0245022142923849,37285,0.028179414100968234,factorized_node_bin,33-64,,-0.36771998085833346,0.8021992758481963,V1_verified_train_minocc100
468733,0.3839851692381294,485519,0.36694759165584007,factorized_node_bin,513-1024,,1.7037577582289354,0.9654266877300374,V1_verified_train_minocc100
79514,0.06513771538765271,94476,0.07140346859603258,factorized_node_bin,65-128,,-0.6265753208379867,0.8416317371607605,V1_verified_train_minocc100
1220706,1.0,1323129,1.0,factorized_node_bin,__distribution_summary__,0.00037827529435958225,0.0,0.9225903143230932,V1_verified_train_minocc100
512,,516,,distinct_constraint_definitions,conflictWith,,,0.9922480620155039,V1_verified_train_minocc100
539,,593,,distinct_constraint_definitions,distinct,,,0.9089376053962901,V1_verified_train_minocc100
87,,87,,distinct_constraint_definitions,inverse,,,1.0,V1_verified_train_minocc100
1183,,1519,,distinct_constraint_definitions,itemRequiresStatement,,,0.7788018433179723,V1_verified_train_minocc100
63,,66,,distinct_constraint_definitions,oneOf,,,0.9545454545454546,V1_verified_train_minocc100
1000,,1004,,distinct_constraint_definitions,single,,,0.9960159362549801,V1_verified_train_minocc100
34,,34,,distinct_constraint_definitions,symmetric,,,1.0,V1_verified_train_minocc100
785,,794,,distinct_constraint_definitions,type,,,0.9886649874055415,V1_verified_train_minocc100
22,,23,,distinct_constraint_definitions,valueRequiresStatement,,,0.9565217391304348,V1_verified_train_minocc100
206,,209,,distinct_constraint_definitions,valueType,,,0.9856459330143541,V1_verified_train_minocc100
4431,,4845,,distinct_constraint_definitions,overall,,,0.9145510835913313,V1_verified_train_minocc100
