count,denominator,encoder_known,family,level,present_in_pre_edit_factorized_input,reason,share,slot,term_kind
19,705,True,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
2,705,True,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
19,705,True,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
2,705,True,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
511,705,False,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
161,705,False,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
11,705,True,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
1,705,True,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
11,705,True,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
1,705,True,conflictWith,slot_failure_tag_overlapping_across_tags_and_slots,True,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
595,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
8,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
2,13186,True,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
1,13186,True,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,IRI
2,13186,True,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
2,13186,True,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,literal
12129,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,literal_target_not_representable,,add_object,literal
8,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,True,literal_target_not_representable,,add_object,literal
2,13186,True,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,literal_target_not_representable,,add_object,literal
433,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,IRI
595,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
8,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
7,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,blank-node
12129,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,literal
8,13186,False,distinct,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,literal
1,13186,True,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
1,13186,True,distinct,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
5,5,True,inverse,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
5,5,True,inverse,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
33749,67877,False,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
3343,67877,False,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
201,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
95,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
201,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
95,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
106,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,literal
30038,67877,False,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,literal_target_not_representable,,add_object,literal
341,67877,False,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,literal_target_not_representable,,add_object,literal
106,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,literal_target_not_representable,,add_object,literal
33749,67877,False,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
3343,67877,False,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
30038,67877,False,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,literal
341,67877,False,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,literal
2,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
12,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
2,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
12,67877,True,itemRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
33,37,True,oneOf,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
33,37,True,oneOf,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
3,37,True,oneOf,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
1,37,True,oneOf,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
3,37,True,oneOf,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
1,37,True,oneOf,slot_failure_tag_overlapping_across_tags_and_slots,True,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
38088,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
4666,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
283,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
165,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
1,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,IRI
283,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
165,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
109,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,literal
58261,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,literal_target_not_representable,,add_object,literal
352,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,True,literal_target_not_representable,,add_object,literal
109,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,literal_target_not_representable,,add_object,literal
433,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,IRI
38088,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
4666,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
7,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,blank-node
58261,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,literal
352,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,literal
48,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
15,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
1,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_predicate,IRI
4,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_predicate,P-property
1,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,IRI
4,102423,False,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
48,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
15,102423,True,overall,slot_failure_tag_overlapping_across_tags_and_slots,True,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
18,24,True,single,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
1,24,True,single,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
1,24,False,single,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_predicate,IRI
4,24,False,single,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_predicate,P-property
1,24,False,single,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,IRI
4,24,False,single,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
18,24,True,single,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
1,24,True,single,slot_failure_tag_overlapping_across_tags_and_slots,True,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
2,2,True,symmetric,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
2,2,True,symmetric,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
219,290,False,type,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
27,290,False,type,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
28,290,True,type,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
12,290,True,type,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
28,290,True,type,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
12,290,True,type,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
219,290,False,type,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
27,290,False,type,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
4,290,True,type,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
4,290,True,type,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
2942,20206,False,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
1126,20206,False,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
22,20206,True,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
17,20206,True,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
22,20206,True,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
17,20206,True,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
1,20206,True,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,literal
16094,20206,False,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,literal_target_not_representable,,add_object,literal
3,20206,False,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,literal_target_not_representable,,add_object,literal
1,20206,True,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,literal_target_not_representable,,add_object,literal
2942,20206,False,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
1126,20206,False,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
16094,20206,False,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,literal
3,20206,False,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,literal
1,20206,True,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
1,20206,True,valueRequiresStatement,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
72,91,False,valueType,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
1,91,False,valueType,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
11,91,True,valueType,slot_failure_tag_overlapping_across_tags_and_slots,False,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
6,91,True,valueType,slot_failure_tag_overlapping_across_tags_and_slots,True,entity_item_target_not_in_entity_output_vocabulary,,add_object,Q-item
11,91,True,valueType,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
6,91,True,valueType,slot_failure_tag_overlapping_across_tags_and_slots,True,fixed_encoder_term_not_in_v1_output_mask,,add_object,Q-item
72,91,False,valueType,slot_failure_tag_overlapping_across_tags_and_slots,False,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
1,91,False,valueType,slot_failure_tag_overlapping_across_tags_and_slots,True,outside_fixed_input_output_vocabulary_and_roles,,add_object,Q-item
1,91,True,valueType,slot_failure_tag_overlapping_across_tags_and_slots,False,fixed_encoder_term_not_in_v1_output_mask,,add_predicate,P-property
1,91,True,valueType,slot_failure_tag_overlapping_across_tags_and_slots,False,predicate_target_not_in_predicate_output_vocabulary,,add_predicate,P-property
