count,family,split,stratum
74354,valueType,overall,verified_base_preserving
13376,conflictWith,test,verified_base_preserving
28670,distinct,test,verified_base_preserving
17225,inverse,test,verified_base_preserving
24576,itemRequiresStatement,test,verified_base_preserving
139005,overall,test,verified_base_preserving
8721,single,test,verified_base_preserving
2848,symmetric,test,verified_base_preserving
18818,type,test,verified_base_preserving
13471,valueRequiresStatement,test,verified_base_preserving
11300,valueType,test,verified_base_preserving
61691,conflictWith,train,verified_base_preserving
133378,distinct,train,verified_base_preserving
80047,inverse,train,verified_base_preserving
114453,itemRequiresStatement,train,verified_base_preserving
646933,overall,train,verified_base_preserving
40734,single,train,verified_base_preserving
13697,symmetric,train,verified_base_preserving
87762,type,train,verified_base_preserving
63290,valueRequiresStatement,train,verified_base_preserving
51881,valueType,train,verified_base_preserving
13186,conflictWith,val,verified_base_preserving
28776,distinct,val,verified_base_preserving
17206,inverse,val,verified_base_preserving
24577,itemRequiresStatement,val,verified_base_preserving
138969,overall,val,verified_base_preserving
8725,single,val,verified_base_preserving
2917,symmetric,val,verified_base_preserving
18769,type,val,verified_base_preserving
13640,valueRequiresStatement,val,verified_base_preserving
11173,valueType,val,verified_base_preserving
126107,conflictWith,overall,verified_deletion_only
428221,distinct,overall,verified_deletion_only
9429,inverse,overall,verified_deletion_only
2655,itemRequiresStatement,overall,verified_deletion_only
1179,oneOf,overall,verified_deletion_only
677259,overall,overall,verified_deletion_only
104317,single,overall,verified_deletion_only
967,symmetric,overall,verified_deletion_only
2863,type,overall,verified_deletion_only
680,valueRequiresStatement,overall,verified_deletion_only
841,valueType,overall,verified_deletion_only
19051,conflictWith,test,verified_deletion_only
64179,distinct,test,verified_deletion_only
1432,inverse,test,verified_deletion_only
402,itemRequiresStatement,test,verified_deletion_only
154,oneOf,test,verified_deletion_only
101662,overall,test,verified_deletion_only
15647,single,test,verified_deletion_only
157,symmetric,test,verified_deletion_only
419,type,test,verified_deletion_only
103,valueRequiresStatement,test,verified_deletion_only
118,valueType,test,verified_deletion_only
88123,conflictWith,train,verified_deletion_only
299827,distinct,train,verified_deletion_only
6648,inverse,train,verified_deletion_only
1838,itemRequiresStatement,train,verified_deletion_only
835,oneOf,train,verified_deletion_only
473907,overall,train,verified_deletion_only
72931,single,train,verified_deletion_only
667,symmetric,train,verified_deletion_only
1992,type,train,verified_deletion_only
463,valueRequiresStatement,train,verified_deletion_only
583,valueType,train,verified_deletion_only
18933,conflictWith,val,verified_deletion_only
64215,distinct,val,verified_deletion_only
1349,inverse,val,verified_deletion_only
415,itemRequiresStatement,val,verified_deletion_only
190,oneOf,val,verified_deletion_only
101690,overall,val,verified_deletion_only
15739,single,val,verified_deletion_only
143,symmetric,val,verified_deletion_only
452,type,val,verified_deletion_only
114,valueRequiresStatement,val,verified_deletion_only
140,valueType,val,verified_deletion_only
114478,inverse,overall,verified_no_copy_addition_only
95732,itemRequiresStatement,overall,verified_no_copy_addition_only
499197,overall,overall,verified_no_copy_addition_only
19462,symmetric,overall,verified_no_copy_addition_only
125063,type,overall,verified_no_copy_addition_only
70196,valueRequiresStatement,overall,verified_no_copy_addition_only
74266,valueType,overall,verified_no_copy_addition_only
17225,inverse,test,verified_no_copy_addition_only
14225,itemRequiresStatement,test,verified_no_copy_addition_only
74845,overall,test,verified_no_copy_addition_only
2848,symmetric,test,verified_no_copy_addition_only
18762,type,test,verified_no_copy_addition_only
10501,valueRequiresStatement,test,verified_no_copy_addition_only
11284,valueType,test,verified_no_copy_addition_only
80047,inverse,train,verified_no_copy_addition_only
67249,itemRequiresStatement,train,verified_no_copy_addition_only
349492,overall,train,verified_no_copy_addition_only
13697,symmetric,train,verified_no_copy_addition_only
87589,type,train,verified_no_copy_addition_only
49081,valueRequiresStatement,train,verified_no_copy_addition_only
51829,valueType,train,verified_no_copy_addition_only
17206,inverse,val,verified_no_copy_addition_only
14258,itemRequiresStatement,val,verified_no_copy_addition_only
74860,overall,val,verified_no_copy_addition_only
2917,symmetric,val,verified_no_copy_addition_only
18712,type,val,verified_no_copy_addition_only
10614,valueRequiresStatement,val,verified_no_copy_addition_only
11153,valueType,val,verified_no_copy_addition_only
87558,conflictWith,overall,verified_no_copy_base_preserving
181148,distinct,overall,verified_no_copy_base_preserving
114478,inverse,overall,verified_no_copy_base_preserving
95732,itemRequiresStatement,overall,verified_no_copy_base_preserving
826074,overall,overall,verified_no_copy_base_preserving
58171,single,overall,verified_no_copy_base_preserving
19462,symmetric,overall,verified_no_copy_base_preserving
125063,type,overall,verified_no_copy_base_preserving
70196,valueRequiresStatement,overall,verified_no_copy_base_preserving
74266,valueType,overall,verified_no_copy_base_preserving
13268,conflictWith,test,verified_no_copy_base_preserving
27188,distinct,test,verified_no_copy_base_preserving
17225,inverse,test,verified_no_copy_base_preserving
14225,itemRequiresStatement,test,verified_no_copy_base_preserving
124017,overall,test,verified_no_copy_base_preserving
8716,single,test,verified_no_copy_base_preserving
2848,symmetric,test,verified_no_copy_base_preserving
18762,type,test,verified_no_copy_base_preserving
10501,valueRequiresStatement,test,verified_no_copy_base_preserving
11284,valueType,test,verified_no_copy_base_preserving
61223,conflictWith,train,verified_no_copy_base_preserving
126621,distinct,train,verified_no_copy_base_preserving
80047,inverse,train,verified_no_copy_base_preserving
67249,itemRequiresStatement,train,verified_no_copy_base_preserving
578068,overall,train,verified_no_copy_base_preserving
40732,single,train,verified_no_copy_base_preserving
13697,symmetric,train,verified_no_copy_base_preserving
87589,type,train,verified_no_copy_base_preserving
49081,valueRequiresStatement,train,verified_no_copy_base_preserving
51829,valueType,train,verified_no_copy_base_preserving
13067,conflictWith,val,verified_no_copy_base_preserving
27339,distinct,val,verified_no_copy_base_preserving
17206,inverse,val,verified_no_copy_base_preserving
14258,itemRequiresStatement,val,verified_no_copy_base_preserving
123989,overall,val,verified_no_copy_base_preserving
8723,single,val,verified_no_copy_base_preserving
2917,symmetric,val,verified_no_copy_base_preserving
18712,type,val,verified_no_copy_base_preserving
10614,valueRequiresStatement,val,verified_no_copy_base_preserving
11153,valueType,val,verified_no_copy_base_preserving
126107,conflictWith,overall,verified_no_copy_deletion_only
428221,distinct,overall,verified_no_copy_deletion_only
9429,inverse,overall,verified_no_copy_deletion_only
2655,itemRequiresStatement,overall,verified_no_copy_deletion_only
1179,oneOf,overall,verified_no_copy_deletion_only
677259,overall,overall,verified_no_copy_deletion_only
104317,single,overall,verified_no_copy_deletion_only
967,symmetric,overall,verified_no_copy_deletion_only
2863,type,overall,verified_no_copy_deletion_only
680,valueRequiresStatement,overall,verified_no_copy_deletion_only
841,valueType,overall,verified_no_copy_deletion_only
19051,conflictWith,test,verified_no_copy_deletion_only
64179,distinct,test,verified_no_copy_deletion_only
1432,inverse,test,verified_no_copy_deletion_only
402,itemRequiresStatement,test,verified_no_copy_deletion_only
154,oneOf,test,verified_no_copy_deletion_only
101662,overall,test,verified_no_copy_deletion_only
15647,single,test,verified_no_copy_deletion_only
157,symmetric,test,verified_no_copy_deletion_only
419,type,test,verified_no_copy_deletion_only
103,valueRequiresStatement,test,verified_no_copy_deletion_only
118,valueType,test,verified_no_copy_deletion_only
88123,conflictWith,train,verified_no_copy_deletion_only
299827,distinct,train,verified_no_copy_deletion_only
6648,inverse,train,verified_no_copy_deletion_only
1838,itemRequiresStatement,train,verified_no_copy_deletion_only
835,oneOf,train,verified_no_copy_deletion_only
473907,overall,train,verified_no_copy_deletion_only
72931,single,train,verified_no_copy_deletion_only
667,symmetric,train,verified_no_copy_deletion_only
1992,type,train,verified_no_copy_deletion_only
463,valueRequiresStatement,train,verified_no_copy_deletion_only
583,valueType,train,verified_no_copy_deletion_only
18933,conflictWith,val,verified_no_copy_deletion_only
64215,distinct,val,verified_no_copy_deletion_only
1349,inverse,val,verified_no_copy_deletion_only
415,itemRequiresStatement,val,verified_no_copy_deletion_only
190,oneOf,val,verified_no_copy_deletion_only
101690,overall,val,verified_no_copy_deletion_only
15739,single,val,verified_no_copy_deletion_only
143,symmetric,val,verified_no_copy_deletion_only
452,type,val,verified_no_copy_deletion_only
114,valueRequiresStatement,val,verified_no_copy_deletion_only
140,valueType,val,verified_no_copy_deletion_only
15594,conflictWith,overall,verified_no_copy_paired_other
2743,distinct,overall,verified_no_copy_paired_other
875,inverse,overall,verified_no_copy_paired_other
115,itemRequiresStatement,overall,verified_no_copy_paired_other
153,oneOf,overall,verified_no_copy_paired_other
21071,overall,overall,verified_no_copy_paired_other
1093,single,overall,verified_no_copy_paired_other
95,symmetric,overall,verified_no_copy_paired_other
227,type,overall,verified_no_copy_paired_other
73,valueRequiresStatement,overall,verified_no_copy_paired_other
103,valueType,overall,verified_no_copy_paired_other
2404,conflictWith,test,verified_no_copy_paired_other
434,distinct,test,verified_no_copy_paired_other
117,inverse,test,verified_no_copy_paired_other
13,itemRequiresStatement,test,verified_no_copy_paired_other
23,oneOf,test,verified_no_copy_paired_other
3210,overall,test,verified_no_copy_paired_other
148,single,test,verified_no_copy_paired_other
14,symmetric,test,verified_no_copy_paired_other
31,type,test,verified_no_copy_paired_other
10,valueRequiresStatement,test,verified_no_copy_paired_other
16,valueType,test,verified_no_copy_paired_other
10864,conflictWith,train,verified_no_copy_paired_other
1912,distinct,train,verified_no_copy_paired_other
624,inverse,train,verified_no_copy_paired_other
90,itemRequiresStatement,train,verified_no_copy_paired_other
114,oneOf,train,verified_no_copy_paired_other
14712,overall,train,verified_no_copy_paired_other
768,single,train,verified_no_copy_paired_other
63,symmetric,train,verified_no_copy_paired_other
159,type,train,verified_no_copy_paired_other
55,valueRequiresStatement,train,verified_no_copy_paired_other
63,valueType,train,verified_no_copy_paired_other
2326,conflictWith,val,verified_no_copy_paired_other
397,distinct,val,verified_no_copy_paired_other
134,inverse,val,verified_no_copy_paired_other
12,itemRequiresStatement,val,verified_no_copy_paired_other
16,oneOf,val,verified_no_copy_paired_other
3149,overall,val,verified_no_copy_paired_other
177,single,val,verified_no_copy_paired_other
18,symmetric,val,verified_no_copy_paired_other
37,type,val,verified_no_copy_paired_other
8,valueRequiresStatement,val,verified_no_copy_paired_other
24,valueType,val,verified_no_copy_paired_other
11269,conflictWith,overall,verified_no_copy_paired_replacement_same_subject_property
10250,distinct,overall,verified_no_copy_paired_replacement_same_subject_property
1647,oneOf,overall,verified_no_copy_paired_replacement_same_subject_property
23179,overall,overall,verified_no_copy_paired_replacement_same_subject_property
1,symmetric,overall,verified_no_copy_paired_replacement_same_subject_property
12,valueType,overall,verified_no_copy_paired_replacement_same_subject_property
1660,conflictWith,test,verified_no_copy_paired_replacement_same_subject_property
1553,distinct,test,verified_no_copy_paired_replacement_same_subject_property
249,oneOf,test,verified_no_copy_paired_replacement_same_subject_property
3464,overall,test,verified_no_copy_paired_replacement_same_subject_property
2,valueType,test,verified_no_copy_paired_replacement_same_subject_property
7978,conflictWith,train,verified_no_copy_paired_replacement_same_subject_property
7141,distinct,train,verified_no_copy_paired_replacement_same_subject_property
1174,oneOf,train,verified_no_copy_paired_replacement_same_subject_property
16300,overall,train,verified_no_copy_paired_replacement_same_subject_property
1,symmetric,train,verified_no_copy_paired_replacement_same_subject_property
6,valueType,train,verified_no_copy_paired_replacement_same_subject_property
1631,conflictWith,val,verified_no_copy_paired_replacement_same_subject_property
1556,distinct,val,verified_no_copy_paired_replacement_same_subject_property
224,oneOf,val,verified_no_copy_paired_replacement_same_subject_property
3415,overall,val,verified_no_copy_paired_replacement_same_subject_property
4,valueType,val,verified_no_copy_paired_replacement_same_subject_property
15606,conflictWith,overall,verified_paired_other
2744,distinct,overall,verified_paired_other
880,inverse,overall,verified_paired_other
118,itemRequiresStatement,overall,verified_paired_other
157,oneOf,overall,verified_paired_other
21128,overall,overall,verified_paired_other
1117,single,overall,verified_paired_other
97,symmetric,overall,verified_paired_other
231,type,overall,verified_paired_other
74,valueRequiresStatement,overall,verified_paired_other
104,valueType,overall,verified_paired_other
2411,conflictWith,test,verified_paired_other
434,distinct,test,verified_paired_other
120,inverse,test,verified_paired_other
16,itemRequiresStatement,test,verified_paired_other
26,oneOf,test,verified_paired_other
3243,overall,test,verified_paired_other
160,single,test,verified_paired_other
16,symmetric,test,verified_paired_other
33,type,test,verified_paired_other
10,valueRequiresStatement,test,verified_paired_other
17,valueType,test,verified_paired_other
10864,conflictWith,train,verified_paired_other
1912,distinct,train,verified_paired_other
624,inverse,train,verified_paired_other
90,itemRequiresStatement,train,verified_paired_other
114,oneOf,train,verified_paired_other
14716,overall,train,verified_paired_other
772,single,train,verified_paired_other
63,symmetric,train,verified_paired_other
159,type,train,verified_paired_other
55,valueRequiresStatement,train,verified_paired_other
63,valueType,train,verified_paired_other
2331,conflictWith,val,verified_paired_other
398,distinct,val,verified_paired_other
136,inverse,val,verified_paired_other
12,itemRequiresStatement,val,verified_paired_other
17,oneOf,val,verified_paired_other
3169,overall,val,verified_paired_other
185,single,val,verified_paired_other
18,symmetric,val,verified_paired_other
39,type,val,verified_paired_other
9,valueRequiresStatement,val,verified_paired_other
24,valueType,val,verified_paired_other
11962,conflictWith,overall,verified_paired_replacement_same_subject_property
23435,distinct,overall,verified_paired_replacement_same_subject_property
1680,oneOf,overall,verified_paired_replacement_same_subject_property
37092,overall,overall,verified_paired_replacement_same_subject_property
1,symmetric,overall,verified_paired_replacement_same_subject_property
14,valueType,overall,verified_paired_replacement_same_subject_property
1767,conflictWith,test,verified_paired_replacement_same_subject_property
3548,distinct,test,verified_paired_replacement_same_subject_property
265,oneOf,test,verified_paired_replacement_same_subject_property
5582,overall,test,verified_paired_replacement_same_subject_property
2,valueType,test,verified_paired_replacement_same_subject_property
8446,conflictWith,train,verified_paired_replacement_same_subject_property
16347,distinct,train,verified_paired_replacement_same_subject_property
1174,oneOf,train,verified_paired_replacement_same_subject_property
25974,overall,train,verified_paired_replacement_same_subject_property
1,symmetric,train,verified_paired_replacement_same_subject_property
6,valueType,train,verified_paired_replacement_same_subject_property
1749,conflictWith,val,verified_paired_replacement_same_subject_property
3540,distinct,val,verified_paired_replacement_same_subject_property
241,oneOf,val,verified_paired_replacement_same_subject_property
5536,overall,val,verified_paired_replacement_same_subject_property
6,valueType,val,verified_paired_replacement_same_subject_property
705,conflictWith,overall,verified_unexpressible_F_not_A_V1
13186,distinct,overall,verified_unexpressible_F_not_A_V1
5,inverse,overall,verified_unexpressible_F_not_A_V1
67877,itemRequiresStatement,overall,verified_unexpressible_F_not_A_V1
37,oneOf,overall,verified_unexpressible_F_not_A_V1
102423,overall,overall,verified_unexpressible_F_not_A_V1
24,single,overall,verified_unexpressible_F_not_A_V1
2,symmetric,overall,verified_unexpressible_F_not_A_V1
290,type,overall,verified_unexpressible_F_not_A_V1
20206,valueRequiresStatement,overall,verified_unexpressible_F_not_A_V1
91,valueType,overall,verified_unexpressible_F_not_A_V1
114,conflictWith,test,verified_unexpressible_F_not_A_V1
1995,distinct,test,verified_unexpressible_F_not_A_V1
3,inverse,test,verified_unexpressible_F_not_A_V1
10354,itemRequiresStatement,test,verified_unexpressible_F_not_A_V1
19,oneOf,test,verified_unexpressible_F_not_A_V1
15544,overall,test,verified_unexpressible_F_not_A_V1
12,single,test,verified_unexpressible_F_not_A_V1
2,symmetric,test,verified_unexpressible_F_not_A_V1
58,type,test,verified_unexpressible_F_not_A_V1
2970,valueRequiresStatement,test,verified_unexpressible_F_not_A_V1
17,valueType,test,verified_unexpressible_F_not_A_V1
468,conflictWith,train,verified_unexpressible_F_not_A_V1
9206,distinct,train,verified_unexpressible_F_not_A_V1
47204,itemRequiresStatement,train,verified_unexpressible_F_not_A_V1
71316,overall,train,verified_unexpressible_F_not_A_V1
4,single,train,verified_unexpressible_F_not_A_V1
173,type,train,verified_unexpressible_F_not_A_V1
14209,valueRequiresStatement,train,verified_unexpressible_F_not_A_V1
52,valueType,train,verified_unexpressible_F_not_A_V1
123,conflictWith,val,verified_unexpressible_F_not_A_V1
1985,distinct,val,verified_unexpressible_F_not_A_V1
2,inverse,val,verified_unexpressible_F_not_A_V1
10319,itemRequiresStatement,val,verified_unexpressible_F_not_A_V1
18,oneOf,val,verified_unexpressible_F_not_A_V1
15563,overall,val,verified_unexpressible_F_not_A_V1
8,single,val,verified_unexpressible_F_not_A_V1
59,type,val,verified_unexpressible_F_not_A_V1
3027,valueRequiresStatement,val,verified_unexpressible_F_not_A_V1
22,valueType,val,verified_unexpressible_F_not_A_V1
